Discard,Descartar,
Do not apply filters and restrictions to agents of this team,Não aplique filtros e restrições aos agentes desta equipe,
Do not restrict tickets without a Team,Não restrinja tickets sem uma equipe,
Docs,Documentação,
Domain,Domínio,
Don't forget to star our GitHub repo,Não se esqueça de dar uma estrela no nosso repositório do GitHub,
Draft,Rascunho,
Due date,Data de vencimento,
Due in {0},Vencimento em {0},
Edit,Editar,
Edit Canned Response,Editar Resposta Pré-Definida,
Edit Email,Editar E-mail,
Edit rule,Editar regra,
Email,E-mail,
Email Account,Conta de E-mail,
Email Accounts,Contas de E-mail,
Email ID,ID do E-mail,
Email ID is required,ID do E-mail é obrigatório,
Email Id,E-mail ID,
Email account created successfully,Conta de e-mail criada com sucesso,
Email account updated successfully,Conta de e-mail atualizada com sucesso,
Email should not be empty,E-mail não deve ficar vazio,
Emails,E-mails,
Empty - Choose a field to filter by,Vazio - Escolha um campo para filtrar,
Empty - Choose a field to sort by,Vazio - Escolha um campo para ordenar,
Enable,Permitir,
Enable Incoming,Habilitar Entrada,
Enable Outgoing,Habilitar Saída,
Enabled,Habilitado,
End Date,Data de Término,
End Time,Hora de Término,
Enter a name for this HD Service Holiday List.,Insira um nome para esta Lista de Feriados do Serviço de HD.,
Enter a valid email,Digite um e-mail válido,
Enter a valid phone number,Digite um número de telefone válido,
Equals,Igual a,
Error,Erro,
Error Sending Invites!,Erro Ao Enviar Convites!,
Error creating article,Erro ao criar artigo,
Error creating rule,Erro ao criar a regra,
Error creating sub category,Erro ao criar a sub-categoria,
Error creating team,Erro ao criar a equipe,
Error deleting rule,Erro ao apagar a regra,
Error deleting team,Erro ao apagar a equipe,
Error renaming team,Erro ao renomear a equipe,
Error updating article,Erro ao atualizar o artigo,
Error updating category,Erro ao atualizar categoria,
Error updating contact,Erro ao atualizar o contato,
Error updating customer,Erro ao atualizar o cliente,
Error updating rule,Erro ao atualizar a regra,
Error updating team,Erro ao atualizar a equipe,
Escalation rule already exists for this criteria,A regra de escalonamento já existe para este critério,
Escalation rules,Regras de escalonamento,
Expand,Expandir,
Expected First Response,Primeira Resposta Esperada,
Expected Resolution,Resolução Esperada,
Explore all articles,Explorar todos os artigos,
Export,Exportar,
Export All {0} Record(s),Exportar {0} Registro(s),
Export Type,Tipo de Exportação,
External link,Link Externo,
Failed,Falhou,
"Failed to create email account, Invalid credentials","Falha ao criar conta de e-mail, credenciais inválidas",
"Failed to update email account, Invalid credentials","Falha ao atualizar conta de e-mail, credenciais inválidas",
Failed to update ticket,Falha ao atualizar ticket,
"Failed to update, please try again","Falha ao atualizar, por favor, tente novamente",
Fantastic! Your email is now active. You are ready unleash true potential of Frappe Helpdesk!,Fantástico! Seu e-mail agora está ativo. Você está pronto para liberar todo o potencial do Frappe Helpdesk!,
Favicon Updated,Favicon Atualizado,
Feedback (Option),Feedback (Opção),
Feedback (Text),Feedback (Texto),
Field (fieldname),Campo (nome do campo),
Field Name,Nome do Campo,
Field `{0}` does not exist in Ticket,Campo `{0}` não existe no ticket,
Fields,Campos,
Filter,Filtro,
Filter Type,Tipo de Filtro,
Filter by...,Filtrar por...,
Filtered Tickets,Tickets Filtrados,
Filters,Filtros,
Finish ✓,Finalizar ✓,
First Name,Nome,
First Responded On,Primeira Resposta Em,
First Response,Primeira Resposta,
First Response Due,Primeira Resposta Devida,
First Response Time,Hora da Primeira Resposta,
First Response Time for Tickets,Hora da Primeira Resposta para Tickets,
First name should not be empty,Nome não deve ficar vazio,
First response,Primeira resposta,
Font Color,Cor da Fonte,
FontColor,Cor da Fonte,
"For any queries or support, reach out to our support portal","Para quaisquer dúvidas ou suporte, entre em contato por meio do nosso portal",
Form,Formulário,
Friday,Sexta-feira,
From,De,
From Date,De,
Fulfilled,Atendido,
Fulfilled in {0},Atendido em {0},
General Settings,Configurações Gerais,
Groups,Grupos,
Guest,Convidado,
HD Action,Ação HD,
HD Agent,Agente HD,
HD Article,Artigo HD,
HD Article Category,Categoria de Artigo HD,
HD Article Feedback,Feedback de Artigo HD,
HD Article Item,Item de Artigo HD,
HD Article Sub Category Item,Item da Subcategoria de Artigo de HD,
HD Canned Response,Resposta Padrão de HD,
HD Customer,Cliente HD,
HD Desk Account Request,Solicitação de Conta HD Desk,
HD Escalation Rule,Regra de Escalonamento HD,
HD Form Script,Script de Formulário HD,
HD Holiday,Feriado HD,
HD Notification,Notificação HD,
HD Organization,Organização HD,
HD Organization Contact Item,Item de Contato de Organização HD,
HD Pause Service Level Agreement On Status,Pausar Acordo de Nível de Serviço de HD com Base no Status.,
HD Portal Signup Request,Solicitação de Cadastro no Portal de HD,
HD Preset Filter,Filtro Pré-definido de HD,
HD Preset Filter Item,Item de Filtro Pré-definido de HD,
HD Service Day,Dia de Serviço HD,
HD Service Holiday List,Lista de Feriados do Serviço de HD,
HD Service Level Agreement,Acordo de Nível de Serviço de HD,
HD Service Level Agreement Fulfilled On Status,Acordo de Nível de Serviço de HD Atendido com Base no Status,
HD Service Level Priority,Prioridade do Nível de Serviço de HD,
HD Settings,Configurações HD,
HD Stopword,Palavra de Parada HD,
HD Support Search Source,Fonte de Pesquisa de Suporte de HD,
HD Synonym,Sinônimos HD,
HD Synonyms,Sinônimos HD,
HD Team,Equipe HD,
HD Team Item,Item de Equipe HD,
HD Team Member,Membro de Equipe HD,
HD Ticket,Ticket HD,
HD Ticket Activity,Atividade de Ticket HD,
HD Ticket Comment,Comentário de Ticket HD,
HD Ticket Feedback Option,Opção de Feedback do Ticket,
HD Ticket Priority,Prioridade de Ticket HD,
HD Ticket Template,Modelo de Ticket HD,
HD Ticket Template Field,Campo de Modelo de Ticket HD,
HD Ticket Type,Tipo de Ticket HD,
Heading 2,Título 2,
Heading 3,Título 3,
Heading 4,Título 4,
Heading 5,Título 5,
Heading 6,Título 6,
Headings Weight,Peso de Título,
HelpDesk,Helpdesk,
Helpdesk Contact,Contato Helpdesk,
Helpdesk Reports,Relatórios do Helpdesk,
"Here, your weekly offs are pre-populated based on the previous selections. You can add more rows to also add public and national holidays individually.","Aqui, suas folgas semanais estão pré-preenchidas com base nas seleções anteriores. Você pode adicionar mais linhas para incluir feriados públicos e nacionais individualmente.",
Hide,Esconder,
Hide condition,Esconder condição,
Hide from customer,Ocultar do cliente,
High to low priority,Prioridade alta a baixa,
Holiday List,Lista de Feriados,
Holiday List Name,Nome da Lista de Feriados,
Holidays,Feriados,
Horizontal Rule,Linha Horizontal,
How about a Favicon? 🌏,Que tal um Favicon? 🌏,
IP Address,Endereço IP,
Icon,Ícone,
"If enabled, all outgoing emails will be sent from this account. Note: Only one account can be default outgoing.","Se ativado, todos os e-mails de saída serão enviados desta conta. Observação: Apenas uma conta pode ser a saída padrão.",
"If enabled, all replies to your company (eg: replies@yourcomany.com) will come to this account. Note: Only one account can be default incoming.","Se ativado, todas as respostas para sua empresa (ex: responda@suacompanhia.com) virão para esta conta. Observação: Apenas uma conta pode ser a entrada padrão.",
"If enabled, anyone will be able to create tickets (without any permission). 
Useful in cases where you wants users to create tickets via webforms or some external APIs without authentication.","Se ativado, qualquer pessoa poderá criar tickets (sem nenhuma permissão). 
""Útil em casos onde você deseja que os usuários criem tickets através de formulários da web ou de algumas APIs externas sem autenticação.",
"If enabled, outgoing emails can be sent from this account.","Se ativado, e-mails de saída podem ser enviados desta conta.",
"If enabled, tickets can be created from the incoming emails on this account.","Se ativado, tickets podem ser criados a partir dos e-mails recebidos nesta conta.",
"If you find any bugs, report them at the issue tracker","Se você encontrar algum bug, reporte-o no GitHub",
Ignore Restrictions,Ignorar Restrições,
Image,Imagem,
"Image to be used in various places, including Login and Signup pages. An image with transparent background and 160 x 32 is preferred","Imagem a ser usada em vários locais, incluindo as páginas de Login e Cadastro. Uma imagem com fundo transparente e 160 x 32 é preferida",
Images,Imagens,
Inactive,Inativo,
Inbox,Caixa de Entrada,
Index,Índex,
Instantly send e-mail,Enviar e-mail instantaneamente,
Integer value,Valor inteiro,
Invalid email,E-mail inválido,
Invalid email ID,ID de e-mail inválido,
Invalid email or password,E-mail ou senha inválidos,
"Invalid file type, only PNG and JPG images are allowed","Tipo de arquivo inválido, apenas imagens PNG e JPG são permitidas",
Invalid page or not permitted to access,Página inválida ou você não tem permissão para acessá-la,
Invalid phone number,Número de telefone inválido,
Invites Sent Successfully!,Convites Enviados com Sucesso,
Is,É,
Is Active,Está Ativo?,
Is Group,É Grupo?,
Is Not,Não É,
Is name setup skipped,Pular configuração de nome?,
Is pinned,Está fixado?,
Is setup complete,Configuração completa?,
Italic,Itálico,
John Doe (Example.com),João Silva (Exemplo.com),
Jump to,Pular para,
Knowledge Base,Base de Conhecimento,
Knowledge base,Base de conhecimento,
Label,Rótulo,
Last Name,Sobrenome,
Last modified,Última atualização,
Last modified on,Última modificação em,
Left,Esquerda,
Let's set a logo 💫,Vamos definir um logo 💫,
Let's setup an email 📬,Vamos configurar um e-mail 📬,
Let`s go!,Vamos lá!,
Like,Como,
Link Options,Opções de Link,
List,Lista,
Log out,Sair,
Low to high priority,Prioridade baixa a alta,
"Lower the Integer value, higher is the priority of the issue","Quanto mais baixo o valor inteiro, maior é a prioridade do incidente",
Mark all as read,Marcar tudo como lido,
Members,Membros,
Members of this team will be able to bypass any team-wise restriction,Membros desta equipe poderão ignorar qualquer restrição de equipe.,
Mention,Menção,
Message,Mensagem,
Misc,Diversos,
Modified,Modificado,
Monday,Segunda-feira,
Monthly,Mensalmente,
My Account,Minha Conta,
My Closed Tickets,Meus Tickets Encerrados,
My Helpdesk,Meu Helpdesk,
My Open Tickets,Meus Tickets Abertos,
My Replied Tickets,Meus Tickets Respondidos,
My Resolved Tickets,Meus Tickets Resolvidos,
My {0} Tickets,Meus {0} Tickets,
Name,Nome,
Name Weight,Peso do Nome,
New,Novo,
New Comment,Novo Comentário,
New Email,Novo E-mail,
New Sub category,Nova Sub-Categoria,
New Subject,Novo Assunto,
New Ticket,Novo Ticket,
New agent,Novo agente,
New and old title cannot be same,O novo título e o título antigo não podem ser iguais,
New category,Nova categoria,
New contact,Novo contato,
New customer,Novo cliente,
New rule,Nova regra,
New team,Nova equipe,
New title is required,Novo título é obrigatório,
Next →,Próximo →,
No,Não,
No Activities,Sem atividades,
No Comments,Sem comentários,
No Email Communications,Sem comunicações de e-mail,
No Escalation Rules Found,Nenhuma regra de escalonamento encontrada,
No Teams Found,Nenhuma Equipe Encontrada,
No Tickets Found,Nenhum ticket encontrado,
"No agents found, please add","Nenhum agente encontrado, por favor, adicione",
No articles found,Nenhum artigo encontrado,
No changes made,Nenhuma alteração realizada,
No changes to save,Sem alterações para salvar,
No members found in team: {0},Nenhum membro encontrado na equipe: {0},
No new notifications,Nenhuma notificação nova,
No results found,Nenhum resultado encontrado,
No shortcuts defined,Nenhum atalho definido,
No templates found,Nenhum template encontrado,
No {0} found,{0} não encontrados,
Not Equals,Não é igual a,
Not Like,Não é como,
Not Specified,Não Especificado,
Notification Settings,Configurações de Notificação,
Notifications,Notificações,
"Now, let's set a name for your Helpdesk that reflects your organization's identity and values. So, what would you like to name your Helpdesk?","Agora, vamos definir um nome para o seu Helpdesk que reflita a identidade e os valores da sua organização. Qual nome você gostaria de dar ao seu Helpdesk?",
Numbered List,Lista Numerada,
Old Parent,Antigo Pai,
On Hold Since,Em Espera Desde,
On click (Javascript),Ao clicar (Javascript),
"Once again, welcome to Frappe Helpdesk! Let's hope for a long and smooth journey!","Mais uma vez, bem-vindo ao Frappe Helpdesk! Vamos torcer por uma jornada longa e tranquila!",
Open,Aberto,
Open tickets,Tickets abertos,
Opening Date,Data de Abertura,
Opening Time,Hora de Abertura,
Operator,Operador,
Or via our e-mail,Ou via nosso e-mail,
Other,Outro,
Paragraph,Parágrafo,
Parent Category,Categoria Pai,
Password,Senha,
Password is required,Senha é obrigatória,
Paused,Pausado,
Paywall Reached!,Limite de pagamento alcançado!,
Phone,Telefone,
Pick an option,Escolha uma opção,
Pin,Fixar,
Pinned,Fixado,
Placeholder,Texto de exemplo,
Please add an email account to continue.,"Por favor, adicionar uma conta de e-mail para continuar",
Please enter a subject to continue,"Por favor, adicione um assunto para continuar",
Please refresh the page to see the changes,"Por favor, atualize a página para ver as alterações",
Please select weekly off day,"Por favor, selecione o dia de folga semanal",
Position of article in ascending order,Posição do artigo em ordem crescente,
Post Description Key,Chave de Descrição do Post,
Post Route Key List,Chave de Descrição do Post,
Post Route String,String da Rota do Post,
Post Title Key,Chave do Título do Post,
Prefer knowledge base,Preferir base de conhecimento,
Priorities,Prioridades,
Priority,Prioridade,
Priority is,Prioridade é,
Priority {0} has been repeated.,Prioridade {0} foi repetida.,
Problem in XYZ,Problema em XYZ,
Product Experts,Especialistas de Produto,
Product experts,Especialistas de produto,
Publish,Publicar,
Published,Publicado,
Published On,Publicado Em,
Quarterly,Trimestral,
Query Options,Opções de Consulta,
Query Route String,String da Rota da Consulta,
Raised By (Email),Levantado Por (Email),
Range,Intervalo,
Rate this ticket,Avalie este ticket,
Rating,Avaliação,
Rating must be between 0.2 and 1.0,A avaliação deve estar entre 0.2 e 1.0,
Rating {0} is not allowed,Avaliação {0} não é permitida,
Reaction,Reação,
Read,Lido,
Reference,Referência,
Reference Ticket,Ticket de Referência,
References,Referências,
Refresh,Atualizar,
Regenerate Search Index,Regenerar Índice de Busca,
Remove,Remover,
Remove photo,Remover foto,
Rename,Renomear,
Rename team,Renomear equipe,
Replied,Respondido,
Reply,Responder,
Request Key,Chave de Solicitação,
Required,Obrigatório,
Reset to Default,Restaurar para o Padrão,
Resolution,Resolução,
Resolution By,Resolução Por,
Resolution Date,Data de Resolução,
Resolution Details,Detalhes da Resolução,
Resolution Due,Prazo de Resolução,
Resolution Time,Tempo de Resolução,
Resolved,Resolvido,
Response,Resposta,
Response By,Resposta Por,
Response Options,Opções de Resposta,
Response Result Key Path,Caminho da Chave do Resultado da Resposta,
Response Time for {0} priority in row {1} can't be greater than Resolution Time.,O tempo de resposta para a prioridade {0} na linha {1} não pode ser maior que o tempo de resolução.,
Response and Resolution,Resposta e Resolução,
Restrict tickets by Team,Restringir tickets por Equipe,
Result Preview Field,Campo de Pré-visualização do Resultado,
Result Route Field,Campo de Rota do Resultado.,
Result Title Field,Título de Rota do Resultado,
Right,Direita,
Rule created,Regra criada,
Rule deleted,Regra apagada,
Rule updated,Regra atualizada,
SLA Creation,Criação de SLA,
SLA Failed,SLA Falhou,
SLA Fulfilled,SLA Atendido,
SLA Fulfilled On,SLA Atendido Em,
SLA Ongoing,SLA Em Andamento,
SLA Paused On,SLA Pausado Em,
SLA Status,Status SLA,
Saturday,Sábado,
Save,Salvar,
Search,Pesquisa,
"Search (title, subtitle, author)","Pesquisar (título, subtítulo, autor)",
Search Index Regenerated,Índice de Busca Regenerado,
Search Score,Pontuação de Busca,
Search Term Param Name,Nome do Parâmetro do Termo de Busca,
Search for '{0}',Pesquisar por '{0}',
Select Customer,Selecione um Cliente,
Select a Default Priority.,Selecione uma Prioridade Padrão,
Select a category,Selecionar uma categoria,
Select a rating,Selecione uma avaliação,
Select all,Selecionar tudo,
Select an option,Selecionar uma opção,
Select your weekly off day,Selecione seu dia de folga semanal.,
Send,Enviar,
Send Invites,Enviar Convites,
Separator,Separador,
Service Level Name,Nome de Nível de Serviço,
Set Response Time for Priority {0} in row {1}.,Defina o Tempo de Resposta para a Prioridade {0} na linha {1}.,
Setting up GMail requires you to enable two factor authentication and app specific passwords. Read more,Configurar o Gmail requer que você ative a autenticação em duas etapas e senhas específicas para aplicativos. Leia mais.,
Setting up GMail requires you to enable two factor authentication and app specific passwords. Read more at https://support.google.com/accounts/answer/185833,Configurar o Gmail requer que você ative a autenticação em duas etapas e senhas específicas para aplicativos. Leia mais em https://support.google.com/accounts/answer/185833,
Setting up Outlook requires you to enable two factor authentication and app specific passwords. Read more,Configurar o Outlook requer que você ative a autenticação em duas etapas e senhas específicas para aplicativos. Leia mais,
Setting up Sendgrid requires you to enable two factor authentication and app specific passwords. Read more ,Configurar o Sendgrid requer que você ative a autenticação em duas etapas e senhas específicas para aplicativos. Leia mais,
Settings,Configurações,
Setup,Configuração,
Shortcuts,Atalhos,
"Simple Python Expression, Example: doc.status == 'Open' and doc.ticket_type == 'Bug'","Expressão Python Simples, Exemplo: doc.status == 'Aberto' e doc.ticket_type == 'Bug'",
Site Down,Site fora do ar,
Skip e-mail workflow,Pular fluxo de e-mail,
Sort,Ordenar,
Sort by,Ordenar por,
Source,Origem,
Source DocType,DocType de Origem,
Source Name,Nome de Origem,
Source Type,Tipo de Origem,
Start Date,Data de Início,
Start Time,Hora de Início,
Start Time can't be greater than or equal to End Time for {0}.,A Hora de Início não pode ser maior ou igual à Hora de Término,
Status,Estado,
Status Details,Detalhes de Estado,
Still got questions? We're here to assist you.,Ainda tem perguntas? Estamos aqui para ajudar você.,
Still need help? Create a ticket,Ainda precisa de ajuda? Crie um ticket,
Sub Category,Sub-Categoria,
Sub-categories,Sub-categorias,
Subject,Assunto,
Subject Weight,Peso do Assunto,
Subject is required,Assunto é obrigatório,
Subject*,Assunto*,
Submit,Enviar,
Subtitle,Sub-título,
Suggest Articles in New TIcket Page,Sugerir Artigos na página de Novo Ticket,
Sunday,Domingo,
Support,Suporte,
Support Hour Distribution,Distribuição de Horas de Suporte,
Support Policy,Política de Suporte,
Support Team,Equipe de Suporte,
Suppress default email toast,Suprimir o aviso de e-mail padrão.,
Synonyms,Sinônimos,
System,Sistema,
System Manager,Gerente de Sistema,
System types can not be deleted,Os tipos de sistema não podem ser excluídos,
TO:,Para:,
Team,Equipe,
Team Restrictions,Restrições de Equipe,
Team is,Equipe é,
Teams,Equipes,
Tell us more,Conte-nos mais,
Template,Modelo,
Template Name,Nome do Modelo,
That's it for now! 🙏,"Isso é tudo, por enquanto! 🙏",
The Condition '{0}' is invalid: {1},A Condição '{0}' é inválida: {1},
The holiday on {0} is not between From Date and To Date,O feriado em {0} não está entre a Data de Início e a Data de Término,
These articles may already cover what you are looking for,Esses artigos podem já abordar o que você está procurando,
This article helps you understand the topic effectively.,Este artigo ajuda você a entender o assunto de forma eficaz.,
This category is empty,Esta categoria está vazia,
This doctype will be deprecated in the future,Este DocType será descontinuado no futuro.,
"This field is used to send an email instantly without adding it into the queue. If this field is checked, the email will be sent immediately after clicking the ""Send"" button, instead of being added to the email queue for later processing.","Este campo é usado para enviar um e-mail instantaneamente, sem adicioná-lo à fila. Se este campo estiver marcado, o e-mail será enviado imediatamente após clicar no botão ""Enviar"", em vez de ser adicionado à fila de e-mails para processamento posterior.",
"This field is used to skip email-related workflows for tickets. If this field is checked, no emails will be sent related to tickets, such as new ticket creation, status updates, or notifications.","Este campo é usado para pular fluxos de trabalho relacionados a e-mails para tickets. Se este campo estiver marcado, nenhum e-mail será enviado relacionado a tickets, como criação de novos tickets, atualizações de status ou notificações.",
This method is only meant for developer mode,Este método é destinado apenas ao modo de desenvolvedor,
This sub category is empty,Esta sub-categoria está vazia,
Thursday,Quinta-feira,
Ticket Analytics,Análise de Tickets,
Ticket Configuration,Configuração de Ticket,
Ticket ID,ID de Ticket,
Ticket Priority,Prioridade de Ticket,
Ticket Restrictions,Restrições de Ticket,
Ticket Split From,Ticket Dividido De,
Ticket Summary,Resumo de Ticket,
Ticket Type,Tipo de Ticket,
Ticket details,Detalhes do ticket,
Ticket must be resolved with a feedback,O ticket deve ser resolvido com um feedback,
Ticket not found,Ticket não encontrado,
Ticket type,Tipo de ticket,
Ticket type is,Tipo do ticket é,
Ticket type is mandatory,Tipo de ticket é obrigatório,
Ticket updated,Ticket atualizado,
Ticket-Search Analysis,Análise de Pesquisa de Tickets,
Title,Título,
